fecha,mes_venta,nombre_del_vendedor,nombre_del_supermercado,representante_de_compras,estado,ciudad,categoria,producto,presentacion,precio_unitario_usd,cantidad_comprada,valor_total_usd,forma_pago,tipo_producto
2024-10-04,2024-10,Lee Charlotte,Corner Delicatessen,Clark Eleonor,Texas,Austin,Otros,Dulce de leche,Frasco 250g,3.0,481,1443.0,Tarjeta de crédito,Dulce de leche
2024-05-10,2024-05,Jackson George,Hyper Foods,Brightman Abigail,Massachusetts,Boston,Yogur,Yogur griego,Individual,1.5,879,1318.5,Tarjeta de crédito,Yogur griego
2024-07-07,2024-07,Jackson George,My Market,Johnson Alice,Texas,Houston,Otros,Dulce de leche,Frasco 250g,3.0,858,2574.0,Tarjeta de débito,Dulce de leche
2024-06-28,2024-06,Davis Olivia,Sky Blue Market,Taylor Jacob,Nueva York,Buffalo,Mantequilla,Mantequilla sin sal,Paquete 454g,4.2,131,550.2,PayPal,Mantequilla sin sal
2024-11-06,2024-11,Zeller Sophie,Sky Blue Market,Taylor Jacob,Florida,Miami,Quesos,Queso camembert,Cuña 200g,6.0,711,4266.0,Tarjeta de crédito,Queso camembert
2024-06-02,2024-06,Williams Chloe,The House of Flavor,McAllister Alexander,Texas,Austin,Quesos,Queso blanco,Bloque 500g,5.0,167,835.0,Efectivo,Queso blanco
2024-07-24,2024-07,Lee Charlotte,The Family Grocer,Brown Margaret,Massachusetts,Springfield,Leche,Leche semidescremada,Litro,1.2,345,414.0,Tarjeta de débito,Leche semidescremada
2024-04-15,2024-04,Zeller Sophie,Sky Blue Market,Taylor Jacob,Texas,San Antonio,Leche,Leche descremada,Litro,1.15,975,1121.25,PayPal,Leche descremada
2024-12-29,2024-12,Smith Noah,The Family Grocer,Brown Margaret,Florida,Tampa,Otros,Cuajada,Envase 250g,2.2,442,972.4,Transferencia bancaria,Cuajada
2024-02-27,2024-02,Davis Olivia,Exquisite Foods Market,Rogers Harper,Texas,Austin,Otros,Dulce de leche,Frasco 250g,3.0,362,1086.0,Tarjeta de crédito,Dulce de leche
2024-05-25,2024-05,Lee Charlotte,Pekos Foods,Dubbois Frank,Nueva York,Buffalo,Yogur,Yogur con frutas,Individual,1.2,487,584.4,PayPal,Yogur con frutas
2024-10-06,2024-10,Smith Noah,Sky Blue Market,Taylor Jacob,Florida,Miami,Mantequilla,Mantequilla clarificada (ghee),Frasco 300ml,5.75,827,4755.25,Efectivo,Mantequilla clarificada (ghee)
2024-09-07,2024-09,Zeller Sophie,Food Emporium,Iacoca William,Florida,Tampa,Otros,Dulce de leche,Frasco 250g,3.0,132,396.0,Tarjeta de crédito,Dulce de leche
2024-12-16,2024-12,Zeller Sophie,The House of Flavor,McAllister Alexander,California,San Jose,Cremas,Crema de leche,Cartón 946ml,5.99,928,5558.72,PayPal,Crema de leche
2024-03-22,2024-03,Davis Olivia,The Family Grocer,Brown Margaret,Nueva York,Rochester,Yogur,Yogur con frutas,Individual,1.2,852,1022.4,Efectivo,Yogur con frutas
2024-03-21,2024-03,Zeller Sophie,Central Supermarket,Smith Patricia,Nueva York,Yonkers,Otros,Helado,Barra individual,1.5,432,648.0,Transferencia bancaria,Helado
2024-06-03,2024-06,Smith Noah,The Grocery Store,McBride Evelyn,Texas,Houston,Mantequilla,Mantequilla con sal,Paquete 454g,4.0,945,3780.0,Tarjeta de crédito,Mantequilla con sal
2024-03-03,2024-03,Anderson James,Super Everything,Fraser Michael,California,Los Angeles,Cremas,Queso crema,Tarrina 250g,2.8,158,442.4,PayPal,Queso crema
2024-12-04,2024-12,Lee Charlotte,The House of Flavor,McAllister Alexander,Florida,Tampa,Mantequilla,Mantequilla con sal,Paquete 454g,4.0,777,3108.0,PayPal,Mantequilla con sal
2024-10-17,2024-10,Williams Chloe,Super Saber,Lee Lucas,Massachusetts,Worcester,Otros,Suero de leche,Botella 1L,2.0,765,1530.0,Efectivo,Suero de leche
2024-05-24,2024-05,Davis Olivia,Super Saber,Lee Lucas,Texas,Austin,Otros,Helado,Barra individual,1.5,393,589.5,PayPal,Helado
2024-01-04,2024-01,Jackson George,Pekos Foods,Dubbois Frank,Florida,Miami,Quesos,Queso camembert,Cuña 200g,6.0,323,1938.0,PayPal,Queso camembert
2024-08-16,2024-08,Anderson James,Culinary Treasures,Koch Emma,Nueva York,New York City,Otros,Helado,Tarrina 500ml,4.25,33,140.25,Tarjeta de débito,Helado
2024-05-31,2024-05,Jackson George,The Food Barn,Tremblay Ana,Nueva York,New York City,Yogur,Yogur con frutas,Individual,1.2,462,554.4,PayPal,Yogur con frutas
2024-03-12,2024-03,Davis Olivia,Food Emporium,Iacoca William,California,San Jose,Quesos,Queso mozzarella,Paquete 200g,3.75,701,2628.75,PayPal,Queso mozzarella
2024-02-01,2024-02,Anderson James,Red Rose,Martinez Patricia,Florida,Jacksonville,Cremas,Queso crema,Tarrina 250g,2.8,544,1523.2,Tarjeta de crédito,Queso crema
2024-02-12,2024-02,Anderson James,Super Everything,Fraser Michael,Massachusetts,Boston,Yogur,Yogur natural,Individual,1.0,34,34.0,Tarjeta de débito,Yogur natural
2024-06-23,2024-06,Zeller Sophie,Hyper Foods,Brightman Abigail,Massachusetts,Boston,Otros,Suero de leche,Botella 1L,2.0,222,444.0,Efectivo,Suero de leche
2024-08-19,2024-08,Anderson James,The Little Bee,Hunter Mark,Texas,San Antonio,Mantequilla,Mantequilla con sal,Paquete 454g,4.0,226,904.0,Tarjeta de débito,Mantequilla con sal
2024-02-28,2024-02,Lee Charlotte,My Market,Johnson Alice,Massachusetts,Lowell,Mantequilla,Mantequilla clarificada (ghee),Frasco 300ml,5.75,967,5560.25,Efectivo,Mantequilla clarificada (ghee)
2024-03-26,2024-03,Williams Chloe,The Little Bee,Hunter Mark,Florida,Tampa,Yogur,Yogur natural,Individual,1.0,97,97.0,Efectivo,Yogur natural
2024-11-11,2024-11,Lee Charlotte,Sky Blue Market,Taylor Jacob,Nueva York,Buffalo,Otros,Cuajada,Envase 250g,2.2,422,928.4,Transferencia bancaria,Cuajada
2024-02-22,2024-02,Lee Charlotte,The Food Barn,Tremblay Ana,California,San Francisco,Yogur,Kumis,Botella 1L,2.5,219,547.5,Tarjeta de débito,Kumis
2024-05-18,2024-05,Zeller Sophie,The House of Flavor,McAllister Alexander,Texas,Austin,Otros,Suero de leche,Botella 1L,2.0,751,1502.0,Transferencia bancaria,Suero de leche
2024-04-16,2024-04,Lee Charlotte,The Little Bee,Hunter Mark,California,Los Angeles,Otros,Helado,Barra individual,1.5,870,1305.0,PayPal,Helado
2024-09-14,2024-09,Davis Olivia,Food Emporium,Iacoca William,Florida,Jacksonville,Cremas,Queso crema,Tarrina 250g,2.8,93,260.4,Tarjeta de débito,Queso crema
2024-07-28,2024-07,Davis Olivia,Pekos Foods,Dubbois Frank,Texas,Austin,Otros,Helado,Barra individual,1.5,934,1401.0,Tarjeta de débito,Helado
2024-07-10,2024-07,Smith Noah,Hyper Foods,Brightman Abigail,Texas,Dallas,Otros,Dulce de leche,Frasco 250g,3.0,869,2607.0,PayPal,Dulce de leche
2024-12-29,2024-12,Williams Chloe,Corner Delicatessen,Clark Eleonor,Texas,San Antonio,Leche,Leche saborizada,Botella 500 ml,1.5,877,1315.5,Tarjeta de débito,Leche saborizada
2024-12-21,2024-12,Lee Charlotte,Culinary Treasures,Koch Emma,Nueva York,New York City,Yogur,Yogur griego,Individual,1.5,386,579.0,PayPal,Yogur griego
2024-02-07,2024-02,Lee Charlotte,My Market,Johnson Alice,Texas,Houston,Mantequilla,Mantequilla sin sal,Paquete 454g,4.2,345,1449.0,Efectivo,Mantequilla sin sal
2024-01-09,2024-01,Smith Noah,Red Rose,Martinez Patricia,Texas,Houston,Mantequilla,Mantequilla sin sal,Paquete 454g,4.2,472,1982.4,Transferencia bancaria,Mantequilla sin sal
2024-11-12,2024-11,Zeller Sophie,The Little Bee,Hunter Mark,Texas,San Antonio,Cremas,Crema batida,Spray 250ml,3.75,590,2212.5,Tarjeta de débito,Crema batida
2024-04-16,2024-04,Williams Chloe,Super Everything,Fraser Michael,Florida,Miami,Otros,Suero de leche,Botella 1L,2.0,279,558.0,Tarjeta de débito,Suero de leche
2024-04-04,2024-04,Zeller Sophie,The Family Grocer,Brown Margaret,Massachusetts,Boston,Yogur,Yogur natural,Individual,1.0,229,229.0,Efectivo,Yogur natural
2024-04-05,2024-04,Jackson George,The Little Bee,Hunter Mark,Massachusetts,Worcester,Yogur,Yogur natural,Individual,1.0,456,456.0,Tarjeta de débito,Yogur natural
2024-02-09,2024-02,Smith Noah,Pekos Foods,Dubbois Frank,Texas,Dallas,Cremas,Crema batida,Spray 250ml,3.75,101,378.75,Transferencia bancaria,Crema batida
2024-09-15,2024-09,Jackson George,Red Rose,Martinez Patricia,Nueva York,Buffalo,Quesos,Queso mozzarella,Paquete 200g,3.75,213,798.75,Tarjeta de débito,Queso mozzarella
2024-03-19,2024-03,Zeller Sophie,Super Everything,Fraser Michael,Texas,Austin,Cremas,Queso crema,Tarrina 250g,2.8,453,1268.4,Transferencia bancaria,Queso crema
2024-12-01,2024-12,Anderson James,Super Everything,Fraser Michael,Nueva York,Rochester,Yogur,Yogur griego,Individual,1.5,995,1492.5,Transferencia bancaria,Yogur griego
2024-02-09,2024-02,Smith Noah,The Food Barn,Tremblay Ana,California,San Jose,Otros,Cuajada,Envase 250g,2.2,477,1049.4,PayPal,Cuajada
2024-10-04,2024-10,Davis Olivia,Super Everything,Fraser Michael,Florida,Miami,Mantequilla,Mantequilla sin sal,Paquete 454g,4.2,412,1730.4,Tarjeta de crédito,Mantequilla sin sal
2024-05-12,2024-05,Davis Olivia,The Food Barn,Tremblay Ana,Texas,San Antonio,Cremas,Queso crema,Tarrina 250g,2.8,565,1582.0,Tarjeta de débito,Queso crema
2024-03-31,2024-03,Davis Olivia,The Pantry,Wilson Ethan,Texas,San Antonio,Leche,Leche saborizada,Botella 500 ml,1.5,616,924.0,Tarjeta de débito,Leche saborizada
2024-10-10,2024-10,Davis Olivia,Corner Delicatessen,Clark Eleonor,Massachusetts,Worcester,Cremas,Crema agria,Tarrina 200g,2.5,259,647.5,Efectivo,Crema agria
2024-05-15,2024-05,Jackson George,The House of Flavor,McAllister Alexander,Nueva York,Yonkers,Quesos,Queso azul roquefort,Cuña 150g,6.25,15,93.75,Efectivo,Queso azul roquefort
2024-04-30,2024-04,Zeller Sophie,Central Supermarket,Smith Patricia,California,San Diego,Leche,Leche condensada,Lata 397g,2.5,951,2377.5,Tarjeta de crédito,Leche condensada
2024-02-18,2024-02,Jackson George,Food Emporium,Iacoca William,Texas,Austin,Otros,Suero de leche,Botella 1L,2.0,345,690.0,Transferencia bancaria,Suero de leche
2024-06-06,2024-06,Smith Noah,Exquisite Foods Market,Rogers Harper,Florida,Tampa,Cremas,Crema batida,Spray 250ml,3.75,65,243.75,Tarjeta de crédito,Crema batida
2024-09-21,2024-09,Anderson James,The Family Grocer,Brown Margaret,Florida,Miami,Yogur,Yogur griego,Individual,1.5,402,603.0,PayPal,Yogur griego
2024-08-08,2024-08,Williams Chloe,Central Supermarket,Smith Patricia,California,San Francisco,Cremas,Queso crema,Tarrina 250g,2.8,1000,2800.0,PayPal,Queso crema
2024-03-13,2024-03,Zeller Sophie,Pekos Foods,Dubbois Frank,California,San Diego,Cremas,Queso crema,Tarrina 250g,2.8,949,2657.2,Transferencia bancaria,Queso crema
2024-11-08,2024-11,Smith Noah,Super Everything,Fraser Michael,Nueva York,Buffalo,Quesos,Queso para untar,Tarrina 250g,3.2,65,208.0,Tarjeta de crédito,Queso para untar
2024-08-01,2024-08,Williams Chloe,The Family Grocer,Brown Margaret,Texas,Houston,Cremas,Queso crema,Tarrina 250g,2.8,109,305.2,PayPal,Queso crema
2024-06-27,2024-06,Lee Charlotte,The Little Bee,Hunter Mark,California,San Francisco,Otros,Suero de leche,Botella 1L,2.0,443,886.0,Transferencia bancaria,Suero de leche
2024-08-03,2024-08,Anderson James,The Little Bee,Hunter Mark,Texas,Dallas,Leche,Leche deslactosada,Litro,1.3,218,283.4,Tarjeta de crédito,Leche deslactosada
2024-03-12,2024-03,Anderson James,The House of Flavor,McAllister Alexander,California,San Francisco,Mantequilla,Mantequilla sin sal,Paquete 454g,4.2,739,3103.8,PayPal,Mantequilla sin sal
2024-11-27,2024-11,Smith Noah,Select Market,Bélanger Theodore,Florida,Miami,Yogur,Kumis,Botella 1L,2.5,42,105.0,Efectivo,Kumis
2024-09-25,2024-09,Anderson James,Central Supermarket,Smith Patricia,Massachusetts,Springfield,Otros,Dulce de leche,Frasco 250g,3.0,150,450.0,Transferencia bancaria,Dulce de leche
2024-04-01,2024-04,Anderson James,Pekos Foods,Dubbois Frank,California,San Diego,Cremas,Crema de leche,Cartón 946ml,5.99,877,5253.23,Transferencia bancaria,Crema de leche
2024-10-03,2024-10,Jackson George,Exquisite Foods Market,Rogers Harper,California,San Diego,Otros,Dulce de leche,Frasco 250g,3.0,698,2094.0,Transferencia bancaria,Dulce de leche
2024-12-16,2024-12,Zeller Sophie,Pekos Foods,Dubbois Frank,Massachusetts,Boston,Mantequilla,Mantequilla con sal,Paquete 454g,4.0,202,808.0,Tarjeta de débito,Mantequilla con sal
2024-02-21,2024-02,Lee Charlotte,The Grocery Store,McBride Evelyn,Massachusetts,Boston,Leche,Leche entera,Galón,3.5,769,2691.5,Efectivo,Leche entera
2024-11-25,2024-11,Smith Noah,The Family Grocer,Brown Margaret,Florida,Miami,Otros,Dulce de leche,Frasco 250g,3.0,273,819.0,Tarjeta de crédito,Dulce de leche
2024-04-21,2024-04,Williams Chloe,My Market,Johnson Alice,Texas,San Antonio,Cremas,Crema de leche,Cartón 946ml,5.99,747,4474.53,PayPal,Crema de leche
2024-08-01,2024-08,Lee Charlotte,Central Supermarket,Smith Patricia,California,Los Angeles,Cremas,Crema agria,Tarrina 200g,2.5,303,757.5,Tarjeta de crédito,Crema agria
2024-04-10,2024-04,Anderson James,Food Emporium,Iacoca William,Texas,Dallas,Quesos,Queso ricota,Envase 250g,4.0,669,2676.0,Tarjeta de crédito,Queso ricota
2024-10-22,2024-10,Smith Noah,The Family Grocer,Brown Margaret,California,San Diego,Yogur,Yogur griego,Individual,1.5,282,423.0,Tarjeta de crédito,Yogur griego
2024-04-26,2024-04,Davis Olivia,The Food Barn,Tremblay Ana,Massachusetts,Worcester,Quesos,Queso azul gorgonzola,Cuña 150g,6.0,748,4488.0,Transferencia bancaria,Queso azul gorgonzola
2024-04-08,2024-04,Zeller Sophie,Town Market,Gagnon James,Florida,Miami,Yogur,Yogur con frutas,Individual,1.2,527,632.4,Efectivo,Yogur con frutas
2024-12-12,2024-12,Anderson James,Select Market,Bélanger Theodore,Nueva York,Yonkers,Quesos,Queso cheddar añejo,Bloque 300g,5.0,513,2565.0,PayPal,Queso cheddar añejo
2024-03-14,2024-03,Jackson George,The Pantry,Wilson Ethan,Massachusetts,Worcester,Cremas,Crema agria,Tarrina 200g,2.5,479,1197.5,Tarjeta de débito,Crema agria
2024-01-12,2024-01,Zeller Sophie,Red Rose,Martinez Patricia,California,Los Angeles,Quesos,Queso cheddar añejo,Bloque 300g,5.0,502,2510.0,PayPal,Queso cheddar añejo
2024-03-27,2024-03,Davis Olivia,Sky Blue Market,Taylor Jacob,Florida,Orlando,Leche,Leche saborizada,Botella 500 ml,1.5,981,1471.5,Tarjeta de débito,Leche saborizada
2024-04-10,2024-04,Williams Chloe,The House of Flavor,McAllister Alexander,Texas,Houston,Quesos,Queso ricota,Envase 250g,4.0,110,440.0,Tarjeta de débito,Queso ricota
2024-06-07,2024-06,Anderson James,The House of Flavor,McAllister Alexander,Massachusetts,Springfield,Mantequilla,Mantequilla con sal,Paquete 454g,4.0,493,1972.0,Tarjeta de crédito,Mantequilla con sal
2024-09-01,2024-09,Anderson James,Select Market,Bélanger Theodore,California,San Diego,Yogur,Yogur con frutas,Individual,1.2,546,655.2,Efectivo,Yogur con frutas
2024-08-17,2024-08,Jackson George,Super Everything,Fraser Michael,California,San Jose,Quesos,Queso gruyere,Bloque 300g,5.5,871,4790.5,Transferencia bancaria,Queso gruyere
2024-06-25,2024-06,Lee Charlotte,Town Market,Gagnon James,Texas,Houston,Cremas,Crema de leche,Cartón 946ml,5.99,888,5319.12,Tarjeta de débito,Crema de leche
2024-08-01,2024-08,Zeller Sophie,Super Saber,Lee Lucas,Texas,Dallas,Cremas,Crema batida,Spray 250ml,3.75,219,821.25,Tarjeta de débito,Crema batida
2024-05-28,2024-05,Smith Noah,The Family Grocer,Brown Margaret,California,San Diego,Yogur,Yogur natural,Familiar 1L,3.5,293,1025.5,Transferencia bancaria,Yogur natural
2024-12-11,2024-12,Zeller Sophie,Sky Blue Market,Taylor Jacob,Florida,Miami,Quesos,Queso mozzarella,Paquete 200g,3.75,311,1166.25,Efectivo,Queso mozzarella
2024-11-14,2024-11,Smith Noah,Super Everything,Fraser Michael,Nueva York,Buffalo,Quesos,Queso blanco,Bloque 500g,5.0,488,2440.0,PayPal,Queso blanco
2024-09-27,2024-09,Lee Charlotte,Hyper Foods,Brightman Abigail,California,San Jose,Leche,Leche condensada,Lata 397g,2.5,673,1682.5,Tarjeta de débito,Leche condensada
2024-05-12,2024-05,Anderson James,Select Market,Bélanger Theodore,Florida,Tampa,Cremas,Crema agria,Tarrina 200g,2.5,378,945.0,Tarjeta de débito,Crema agria
2024-07-23,2024-07,Lee Charlotte,Select Market,Bélanger Theodore,Florida,Orlando,Mantequilla,Mantequilla sin sal,Paquete 454g,4.2,598,2511.6,Tarjeta de débito,Mantequilla sin sal
2024-08-16,2024-08,Smith Noah,Super Everything,Fraser Michael,California,Los Angeles,Otros,Cuajada,Envase 250g,2.2,110,242.0,Efectivo,Cuajada
2024-04-03,2024-04,Zeller Sophie,My Market,Johnson Alice,Texas,Houston,Otros,Cuajada,Envase 250g,2.2,664,1460.8,Transferencia bancaria,Cuajada
2024-10-11,2024-10,Zeller Sophie,The Grocery Store,McBride Evelyn,Texas,Austin,Otros,Cuajada,Envase 250g,2.2,143,314.6,Efectivo,Cuajada
2024-08-12,2024-08,Smith Noah,Exquisite Foods Market,Rogers Harper,Massachusetts,Boston,Quesos,Queso brie,Cuña 200g,6.0,569,3414.0,Tarjeta de débito,Queso brie
2024-11-25,2024-11,Smith Noah,Central Supermarket,Smith Patricia,Texas,Houston,Quesos,Queso para untar,Tarrina 250g,3.2,476,1523.2,Tarjeta de crédito,Queso para untar
2024-06-12,2024-06,Anderson James,The Family Grocer,Brown Margaret,Texas,Dallas,Quesos,Queso parmesano,Rallado 150g,4.8,17,81.6,Efectivo,Queso parmesano
2024-03-13,2024-03,Davis Olivia,The Family Grocer,Brown Margaret,Texas,Dallas,Leche,Leche en polvo,Bolsa 400g,3.0,44,132.0,Efectivo,Leche en polvo
2024-06-01,2024-06,Zeller Sophie,Sky Blue Market,Taylor Jacob,Nueva York,Yonkers,Mantequilla,Mantequilla clarificada (ghee),Frasco 300ml,5.75,828,4761.0,Tarjeta de crédito,Mantequilla clarificada (ghee)
2024-01-29,2024-01,Lee Charlotte,Town Market,Gagnon James,Texas,Austin,Leche,Leche entera,Individual,0.75,817,612.75,Tarjeta de débito,Leche entera
2024-03-25,2024-03,Williams Chloe,The Family Grocer,Brown Margaret,Texas,Dallas,Mantequilla,Mantequilla clarificada (ghee),Frasco 300ml,5.75,179,1029.25,Tarjeta de crédito,Mantequilla clarificada (ghee)
2024-04-28,2024-04,Smith Noah,Select Market,Bélanger Theodore,Nueva York,Buffalo,Mantequilla,Mantequilla clarificada (ghee),Frasco 300ml,5.75,34,195.5,Tarjeta de crédito,Mantequilla clarificada (ghee)
2024-04-03,2024-04,Davis Olivia,Town Market,Gagnon James,Massachusetts,Worcester,Leche,Bebidas lácteas,Botella 1L,2.0,813,1626.0,PayPal,Bebidas lácteas
2024-08-19,2024-08,Smith Noah,Food Emporium,Iacoca William,California,San Jose,Leche,Leche semidescremada,Individual,0.7,609,426.3,Efectivo,Leche semidescremada
2024-08-30,2024-08,Smith Noah,Central Supermarket,Smith Patricia,Massachusetts,Boston,Yogur,Yogur natural,Individual,1.0,798,798.0,Transferencia bancaria,Yogur natural
2024-09-09,2024-09,Jackson George,Sky Blue Market,Taylor Jacob,Nueva York,New York City,Leche,Bebidas lácteas,Botella 1L,2.0,526,1052.0,Tarjeta de crédito,Bebidas lácteas
2024-10-07,2024-10,Smith Noah,Culinary Treasures,Koch Emma,Nueva York,New York City,Mantequilla,Mantequilla clarificada (ghee),Frasco 300ml,5.75,541,3110.75,Transferencia bancaria,Mantequilla clarificada (ghee)
2024-03-05,2024-03,Smith Noah,Town Market,Gagnon James,Massachusetts,Worcester,Quesos,Queso ricota,Envase 250g,4.0,163,652.0,Tarjeta de crédito,Queso ricota
2024-09-13,2024-09,Williams Chloe,The Food Barn,Tremblay Ana,California,San Francisco,Leche,Leche entera,Galón,3.5,152,532.0,Tarjeta de crédito,Leche entera
2024-12-03,2024-12,Lee Charlotte,Super Everything,Fraser Michael,Nueva York,Rochester,Otros,Dulce de leche,Frasco 250g,3.0,101,303.0,Transferencia bancaria,Dulce de leche
2024-11-27,2024-11,Zeller Sophie,Central Supermarket,Smith Patricia,California,San Diego,Leche,Leche en polvo,Bolsa 800g,5.5,782,4301.0,Tarjeta de débito,Leche en polvo
2024-11-11,2024-11,Davis Olivia,The Grocery Store,McBride Evelyn,Massachusetts,Boston,Leche,Leche entera,Litro,1.25,49,61.25,Tarjeta de débito,Leche entera
2024-05-12,2024-05,Lee Charlotte,Pekos Foods,Dubbois Frank,Texas,Dallas,Otros,Dulce de leche,Frasco 250g,3.0,108,324.0,Tarjeta de crédito,Dulce de leche
2024-08-18,2024-08,Jackson George,Culinary Treasures,Koch Emma,Florida,Tampa,Leche,Leche entera,Galón,3.5,838,2933.0,Transferencia bancaria,Leche entera
2024-10-02,2024-10,Davis Olivia,Culinary Treasures,Koch Emma,California,San Jose,Otros,Helado,Barra individual,1.5,374,561.0,Efectivo,Helado
2024-05-09,2024-05,Lee Charlotte,Exquisite Foods Market,Rogers Harper,Massachusetts,Boston,Otros,Suero de leche,Botella 1L,2.0,681,1362.0,Tarjeta de crédito,Suero de leche
2024-12-30,2024-12,Lee Charlotte,Pekos Foods,Dubbois Frank,Nueva York,Rochester,Quesos,Queso gouda,Bloque 300g,4.5,858,3861.0,Efectivo,Queso gouda
2024-06-18,2024-06,Smith Noah,Hyper Foods,Brightman Abigail,Massachusetts,Boston,Mantequilla,Mantequilla sin sal,Paquete 454g,4.2,664,2788.8,Transferencia bancaria,Mantequilla sin sal
2024-09-08,2024-09,Williams Chloe,Super Saber,Lee Lucas,California,San Jose,Mantequilla,Mantequilla clarificada (ghee),Frasco 300ml,5.75,560,3220.0,Efectivo,Mantequilla clarificada (ghee)
2024-04-25,2024-04,Anderson James,The House of Flavor,McAllister Alexander,Massachusetts,Lowell,Cremas,Crema de leche,Cartón 946ml,5.99,18,107.82,Tarjeta de débito,Crema de leche
2024-02-03,2024-02,Davis Olivia,Pekos Foods,Dubbois Frank,Nueva York,Rochester,Otros,Cuajada,Envase 250g,2.2,562,1236.4,Tarjeta de crédito,Cuajada
2024-02-13,2024-02,Jackson George,Corner Delicatessen,Clark Eleonor,Florida,Tampa,Quesos,Queso edam,Bloque 300g,4.75,650,3087.5,Transferencia bancaria,Queso edam
2024-12-08,2024-12,Williams Chloe,The Family Grocer,Brown Margaret,California,San Diego,Yogur,Yogur natural,Individual,1.0,109,109.0,Transferencia bancaria,Yogur natural
2024-11-15,2024-11,Smith Noah,Super Saber,Lee Lucas,Texas,San Antonio,Cremas,Queso crema,Tarrina 250g,2.8,391,1094.8,Tarjeta de crédito,Queso crema
2024-08-17,2024-08,Anderson James,Central Supermarket,Smith Patricia,Massachusetts,Worcester,Yogur,Yogur natural,Familiar 1L,3.5,836,2926.0,PayPal,Yogur natural
2024-07-20,2024-07,Anderson James,Sky Blue Market,Taylor Jacob,Florida,Orlando,Cremas,Crema agria,Tarrina 200g,2.5,422,1055.0,Tarjeta de débito,Crema agria
2024-06-09,2024-06,Lee Charlotte,Sky Blue Market,Taylor Jacob,Massachusetts,Springfield,Yogur,Kumis,Botella 1L,2.5,757,1892.5,Efectivo,Kumis
2024-06-04,2024-06,Williams Chloe,The Food Barn,Tremblay Ana,Massachusetts,Boston,Otros,Helado,Tarrina 500ml,4.25,40,170.0,Transferencia bancaria,Helado
2024-09-28,2024-09,Zeller Sophie,My Market,Johnson Alice,Florida,Jacksonville,Leche,Leche descremada,Individual,0.65,349,226.85,Efectivo,Leche descremada
2024-09-12,2024-09,Jackson George,The House of Flavor,McAllister Alexander,Massachusetts,Worcester,Yogur,Yogur natural,Familiar 1L,3.5,617,2159.5,Transferencia bancaria,Yogur natural
2024-08-13,2024-08,Jackson George,Super Saber,Lee Lucas,Massachusetts,Worcester,Otros,Suero de leche,Botella 1L,2.0,337,674.0,Efectivo,Suero de leche
2024-10-17,2024-10,Davis Olivia,Sky Blue Market,Taylor Jacob,Texas,Austin,Quesos,Queso mozzarella,Paquete 200g,3.75,514,1927.5,Efectivo,Queso mozzarella
2024-04-15,2024-04,Smith Noah,The Food Barn,Tremblay Ana,Texas,Houston,Yogur,Yogur con frutas,Individual,1.2,510,612.0,Tarjeta de crédito,Yogur con frutas
2024-05-22,2024-05,Anderson James,The Pantry,Wilson Ethan,Nueva York,Yonkers,Otros,Suero de leche,Botella 1L,2.0,893,1786.0,Tarjeta de crédito,Suero de leche
2024-04-24,2024-04,Lee Charlotte,Red Rose,Martinez Patricia,Massachusetts,Lowell,Yogur,Yogur natural,Individual,1.0,740,740.0,PayPal,Yogur natural
2024-01-21,2024-01,Davis Olivia,Central Supermarket,Smith Patricia,Texas,San Antonio,Quesos,Queso mozzarella,Paquete 200g,3.75,207,776.25,Tarjeta de crédito,Queso mozzarella
2024-09-17,2024-09,Smith Noah,My Market,Johnson Alice,Texas,Austin,Leche,Leche condensada,Lata 397g,2.5,449,1122.5,Transferencia bancaria,Leche condensada
2024-01-06,2024-01,Jackson George,The Food Barn,Tremblay Ana,Massachusetts,Boston,Mantequilla,Mantequilla con sal,Paquete 454g,4.0,663,2652.0,Transferencia bancaria,Mantequilla con sal
2024-05-19,2024-05,Smith Noah,Corner Delicatessen,Clark Eleonor,California,Los Angeles,Cremas,Crema de leche,Cartón 946ml,5.99,109,652.91,Tarjeta de crédito,Crema de leche
2024-03-06,2024-03,Smith Noah,Select Market,Bélanger Theodore,Texas,Austin,Leche,Leche semidescremada,Individual,0.7,130,91.0,PayPal,Leche semidescremada
2024-12-20,2024-12,Smith Noah,Culinary Treasures,Koch Emma,Texas,Dallas,Leche,Leche saborizada,Botella 500 ml,1.5,53,79.5,Transferencia bancaria,Leche saborizada
2024-10-04,2024-10,Davis Olivia,Town Market,Gagnon James,Massachusetts,Springfield,Cremas,Crema agria,Tarrina 200g,2.5,782,1955.0,Tarjeta de débito,Crema agria
2024-11-19,2024-11,Lee Charlotte,My Market,Johnson Alice,Texas,Houston,Otros,Suero de leche,Botella 1L,2.0,949,1898.0,Tarjeta de crédito,Suero de leche
2024-09-06,2024-09,Lee Charlotte,Select Market,Bélanger Theodore,Texas,Houston,Cremas,Queso crema,Tarrina 250g,2.8,679,1901.2,Tarjeta de débito,Queso crema
2024-10-19,2024-10,Anderson James,The Food Barn,Tremblay Ana,Massachusetts,Lowell,Cremas,Crema de leche,Cartón 946ml,5.99,587,3516.13,Tarjeta de débito,Crema de leche
2024-10-05,2024-10,Williams Chloe,Pekos Foods,Dubbois Frank,Massachusetts,Springfield,Leche,Leche condensada,Lata 397g,2.5,931,2327.5,PayPal,Leche condensada
